"name","file_system","mount_point","size","computer","provided_by","computer.disk_space","computer.name","computer.os","computer.used_for"
"/dev/mapper/vg_root-lv_var","xfs","/var","5.0 GB","saeu-prodp06","","56,96","saeu-prodp06","Linux Red Hat","Production"
"vmalqnasnprd02:/aghybrisprod","nfs4","/hybrissharepoint","4.9 GB","argebzprdweb01","","743","argebzprdweb01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_exploit","xfs","/home/exploit","252.7 MB","saeu-pprdv11","","222,45","saeu-pprdv11","Linux Red Hat","Preproduction"
"/dev/mapper/vg_app-lv_sdisk01","ext4","/sdisk01","245.1 GB","argebzprddep02","","1 327","argebzprddep02","Linux Red Hat","Production"
"lie1apu:/home/interface2","nfs4","/home/interfaces/ORACLELI2","1024.0 MB","siai-gatwv01","","352","siai-gatwv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_hometmp","xfs","/home/tmp","1014.0 MB","saho-alfrv02","","139","saho-alfrv02","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_home","xfs","/home","124.7 MB","SAHO-ARCWV01","","149","SAHO-ARCWV01","Linux Red Hat","Preproduction"
"/dev/mapper/vg00-crashvol","ext4","/var/crash","1.9 GB","argebzprdweb03","","736","argebzprdweb03","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_interfaces","xfs","/interfaces","1014.0 MB","saeu-opwcp01","","633","saeu-opwcp01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_var","xfs","/var","5.0 GB","saag-terraap01","","551","saag-terraap01","Linux Red Hat","Production"
"/dev/mapper/sdisk02_vg-sdisk02","xfs","/sdisk02","99.9 GB","saag-bwstp09","","1 509,45","saag-bwstp09","Linux Red Hat","Production"
"ambeapr:/home/ora_appl_AMBER/SEPA","nfs4","/me-amberGZ-pprd/ambeapr/home/ora_appl_AMBER/SEPA","194.7 GB","ai-samba-pprd","","117","ai-samba-pprd","Linux Red Hat","Preproduction"
"/dev/mapper/vg_backup-backup","xfs","/backup","40.0 GB","sana-amsap01","","178,95","sana-amsap01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_tmp","xfs","/tmp","1014.0 MB","siai-etxcv01","","135","siai-etxcv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_hpomuser","xfs","/home/hpomuser","124.7 MB","siai-gatwp01","","631","siai-gatwp01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_admin","xfs","/admin","60.7 MB","saeu-prodp06","","56,96","saeu-prodp06","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_home","xfs","/home","124.7 MB","saho-archv01","","149","saho-archv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_sirhrec","xfs","/home/sirhrec","15.0 GB","SAHO-ARCWV01","","149","SAHO-ARCWV01","Linux Red Hat","Preproduction"
"/dev/mapper/vg00-homevol","ext4","/home","983.7 MB","argebzprdweb03","","736","argebzprdweb03","Linux Red Hat","Production"
"/dev/mapper/root_vg-lv_tmp","ext4","/tmp","9.8 GB","sanamxmdd01","","2 724","sanamxmdd01","Linux Red Hat","Development"
"/dev/sda1","ext3","/boot","193.7 MB","SIAI-NTSYP01","/dev/sda1","642","SIAI-NTSYP01","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_opt_puppetlabs","xfs","/opt/puppetlabs","2.3 GB","siai-rhstp12","","2 157","siai-rhstp12","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_varlogaudit","ext4","/var/log/audit","1.9 GB","argebzprddep02","","1 327","argebzprddep02","Linux Red Hat","Production"
"/dev/mapper/rhel-home","xfs","/home","5.0 GB","sana-ebsrdp01","","43 187,11","sana-ebsrdp01","Linux Red Hat","Production"
"/dev/nvme0n1p2","xfs","/","100.0 GB","saag-hyodb2u01","/dev/nvme0n1p2","919,57","saag-hyodb2u01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_adminbases","xfs","/admin/bases","2.0 GB","saai-pa02p01","","1 716","saai-pa02p01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_tmp","xfs","/tmp","1014.0 MB","saeu-ouaav02","","487","saeu-ouaav02","Linux Red Hat","Preproduction"
"uxadmin-alseis.eu.corp.airliquide.com:/vol/C3_PER_VUNIX/AdminCentral","nfs4","/admin/central","1.7 TB","siai-hadmp01","","269","siai-hadmp01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_hpomuser","ext4","/home/hpomuser","120.0 MB","saeu-moskv01","","200","saeu-moskv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_admin","xfs","/admin","60.7 MB","saif-ansiv05","","105","saif-ansiv05","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_home","xfs","/home","124.7 MB","SIHO-ARCWP01","","151","SIHO-ARCWP01","Linux Red Hat","Production"
"/dev/sdc1","ext3","/d01","65.9 GB","pdc-al-lnx10","","97","pdc-al-lnx10","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_unicenter","xfs","/home/unicenter","5.0 GB","SAAI-AWCCP02","","110","SAAI-AWCCP02","Linux Red Hat","Production"
"/dev/mapper/vg00-lv_cva","ext4","/cva","4.8 GB","argebzprdweb03","","736","argebzprdweb03","Linux Red Hat","Production"
"/dev/mapper/root_vg-lv_var","ext4","/var","5.9 GB","sana-aixp-ibm1-dr","","3 117","sana-aixp-ibm1-dr","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_var_crash","xfs","/var/crash","5.0 GB","saag-terraar01","","551","saag-terraar01","Linux Red Hat","Preproduction"
"/dev/mapper/rhel-opt","xfs","/opt","5.0 GB","sana-ebsrdp01","","43 187,11","sana-ebsrdp01","Linux Red Hat","Production"
"/dev/nvme0n1p2","xfs","/","200.0 GB","saag-hyslr2u01","/dev/nvme0n1p2","199,99","saag-hyslr2u01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_cache_pulp","xfs","/var/cache/pulp","30.0 GB","siai-rhstv52","","2 007","siai-rhstv52","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_tmp","xfs","/tmp","1014.0 MB","saai-pa02p01","","1 716","saai-pa02p01","Linux Red Hat","Production"
